Puzzle,Category,Date
TIDY UP THE HOUSE,Phrase,9/12/16
WHIMSICAL RHYME,Thing,9/13/16
PIANO MUSIC,Thing,9/14/16
CARPOOLING TO WORK,What Are You Doing?,9/15/16
ACTIVEWEAR,Thing,9/16/16
UPBEAT PERSONALITY,Thing,9/19/16
FOOD JOURNAL,Thing,9/20/16
IN THE BACKGROUND,Phrase,9/21/16
GROUP PHOTO,Thing,9/22/16
POWERFUL IMAGE,Thing,9/23/16
HUMBLY YOURS,Phrase,9/26/16
CHOKED UP,Phrase,9/27/16
POSITIVE OPINION,Thing,9/28/16
FRESH HONEYDEW,Food &amp; Drink,9/29/16
A HEFTY CHUNK,Thing,9/30/16
ON OUR WAY TO HAPPY HOUR,Phrase,10/3/16
I GAVE HIM AN EARFUL,Phrase,10/4/16
JUICY PLUM,Food &amp; Drink,10/5/16
OUT OF THE BOX,Phrase,10/6/16
APPLYING YOURSELF,Phrase,10/7/16
JAZZ GUITARIST,Person,10/10/16
BAKING A PIE,What Are You Doing?,10/11/16
BASIC MATH,Thing,10/12/16
POPULAR VIEW,Thing,10/13/16
FABULOUS ADVICE,Thing,10/14/16
PARADING AROUND,What Are You Doing?,10/17/16
FLIPPING A SWITCH,Phrase,10/18/16
EMBARK ON A JOURNEY,Phrase,10/19/16
DIFFICULT TO IGNORE,Phrase,10/20/16
ADORABLE DIMPLES,Things,10/21/16
HANDY GUY,Person,10/24/16
I HAVE NO IDEA,Phrase,10/25/16
ON A BUDGET,Phrase,10/26/16
DAILY UPDATES,Things,10/27/16
FOGGY MORNING,Thing,10/28/16
TOYING AROUND,Phrase,10/31/16
UNBEATABLE COMBINATION,Phrase,11/1/16
BRIGHT GLOW,Thing,11/2/16
JOINING HANDS,Phrase,11/3/16
PAYING MY DUES,Phrase,11/4/16
A BIG FACTOR,Thing,11/7/16
MY HAPPY PLACE,Phrase,11/9/16
JOG YOUR MEMORY,Phrase,11/10/16
POINT IT OUT,Phrase,11/11/16
GROCERY BAGS,Things,11/12/16
AMBITIOUS PLAN,Thing,11/14/16
DOUBLE EXPOSURE,Thing,11/15/16
DAYLIGHT HOURS,Things,11/16/16
FUNNY CAPTION,Thing,11/17/16
COZY BUNGALOW,Place,11/18/16
I HAVE TO GO HOME,Phrase,11/21/16
WOOL JACKET,Thing,11/22/16
MUSICAL PRODIGY,Person,11/23/16
HOPE YOU HAVE FUN,Phrase,11/24/16
OUR TOP PRIORITY,Thing,11/25/16
BACK IT UP,Phrase,11/28/16
HUGE JACKPOT,Thing,11/29/16
A UNIQUE VOICE,Thing,11/30/16
OPEN DAILY,Phrase,12/1/16
AN ONGOING EFFORT,Thing,12/2/16
HOWDY FOLKS,Phrase,12/5/16
BIOGRAPHICAL INFORMATION,Thing,12/6/16
DREAM BIG,Phrase,12/7/16
QUAINT COTTAGE,Place,12/8/16
IMPULSE PURCHASE,Thing,12/9/16
YOUNG AND HIP,Phrase,12/12/16
MAKE IT HAPPEN,Phrase,12/13/16
AKRON OHIO,On the Map,12/14/16
VIVID IMAGE,Thing,12/15/16
OUT ON THE PATIO,Phrase,12/16/16
BINGO PARTY,Event,12/19/16
ALWAYS FAITHFUL,Phrase,12/20/16
BOLD IDEA,Thing,12/21/16
IN A GOOD GROOVE,Phrase,12/22/16
VOCABULARY QUIZ,Thing,12/23/16
SUPERB TECHNIQUE,Thing,12/26/16
MAKING AN APPOINTMENT,What Are You Doing?,12/27/16
PACKED AUDITORIUM,Place,12/28/16
PRYING IT OPEN,What Are You Doing?,12/29/16
LOWER THE BOOM,Phrase,12/30/16
GORGEOUS VINEYARD,Place,1/2/17
FOOLPROOF METHOD,Thing,1/3/17
